id,occurrenceID,catalogNumber,basisOfRecord,collectionCode,scientificName,taxonRank,kingdom,family,higherClassification,vernacularName,previousIdentifications,individualCount,lifeStage,sex,longitudeDecimal,latitudeDecimal,geodeticDatum,dataGeneralizations,coordinateUncertaintyInMeters,continent,country,countryCode,stateProvince,locality,habitat,recordedBy,eventID,eventDate,eventTime,samplingProtocol,behavior,associatedTaxa,references,rightsHolder,license,modified
86136086@OBS,https://observation.org/observation/86136086,OBS.86136086,HumanObservation,Observations,Aphantopus hyperantus,species,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Animalia|BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Ringlet,NA,5,imago,undetermined,22.59662852,53.3299451,WGS84,NA,25,Europe,Poland,PL,NA,Poland - Biebrza NP,NA,NA,NA,2014-07-07,10:59:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86136086,Stichting Natuurinformatie,CC BY-NC 4.0,2017-08-11
86136085@OBS,https://observation.org/observation/86136085,OBS.86136085,HumanObservation,Observations,Melitaea athalia,species,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Animalia|BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Heath Fritillary,NA,3,imago,undetermined,22.55,53.3,WGS84,NA,5000,Europe,Poland,PL,NA,Poland - Biebrza NP,NA,NA,NA,2014-07-07,10:59:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86136085,Stichting Natuurinformatie,CC BY-NC 4.0,2018-08-28
86136082@OBS,https://observation.org/observation/86136082,OBS.86136082,HumanObservation,Observations,Natrix natrix,species,Animalia,Colubridae,Animalia|Colubridae,European Grass Snake,NA,1,unknown,undetermined,22.55,53.3,WGS84,NA,5000,Europe,Poland,PL,NA,Poland - Podlaskie,NA,NA,NA,2014-07-07,11:20:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86136082,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-07
86136081@OBS,https://observation.org/observation/86136081,OBS.86136081,HumanObservation,Observations,Natrix natrix,species,Animalia,Colubridae,Animalia|Colubridae,European Grass Snake,NA,2,unknown,undetermined,22.6,53.3,WGS84,NA,5000,Europe,Poland,PL,NA,Poland - Podlaskie,NA,NA,NA,2014-07-07,11:21:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86136081,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-07
86136080@OBS,https://observation.org/observation/86136080,OBS.86136080,HumanObservation,Observations,Natrix natrix,species,Animalia,Colubridae,Animalia|Colubridae,European Grass Snake,NA,1,unknown,undetermined,22.6,53.3,WGS84,NA,5000,Europe,Poland,PL,NA,Poland - Podlaskie,NA,NA,NA,2014-07-07,11:21:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86136080,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-07
86136079@OBS,https://observation.org/observation/86136079,OBS.86136079,HumanObservation,Observations,Motacilla alba,species,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Animalia|PIPITS_EN_WAGTAILS_MOTACILLIDAE,White Wagtail,NA,1,unknown,undetermined,22.60046104,53.3271027,WGS84,NA,25,Europe,Poland,PL,NA,Poland - Podlaskie,NA,NA,NA,2014-07-07,11:22:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86136079,Stichting Natuurinformatie,CC BY-NC 4.0,2017-08-12
86136078@OBS,https://observation.org/observation/86136078,OBS.86136078,HumanObservation,Observations,Natrix natrix,species,Animalia,Colubridae,Animalia|Colubridae,European Grass Snake,NA,1,unknown,undetermined,22.6,53.3,WGS84,NA,5000,Europe,Poland,PL,NA,Poland - Podlaskie,NA,NA,NA,2014-07-07,11:23:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86136078,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-07
86136077@OBS,https://observation.org/observation/86136077,OBS.86136077,HumanObservation,Observations,Celastrina argiolus,species,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Animalia|GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Holly Blue,NA,1,imago,undetermined,22.60241005,53.31442104,WGS84,NA,25,Europe,Poland,PL,NA,Poland - Biebrza NP,NA,NA,NA,2014-07-07,11:43:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86136077,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-07
86136076@OBS,https://observation.org/observation/86136076,OBS.86136076,HumanObservation,Observations,Aphantopus hyperantus,species,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Animalia|BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Ringlet,NA,5,imago,undetermined,22.60039252,53.3142183,WGS84,NA,25,Europe,Poland,PL,NA,Poland - Biebrza NP,NA,NA,NA,2014-07-07,12:02:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86136076,Stichting Natuurinformatie,CC BY-NC 4.0,2017-08-11
86136075@OBS,https://observation.org/observation/86136075,OBS.86136075,HumanObservation,Observations,Gonepteryx rhamni,species,Animalia,WHITES_PIERIDAE,Animalia|WHITES_PIERIDAE,Brimstone,NA,1,imago,female,22.60030355,53.31423465,WGS84,NA,25,Europe,Poland,PL,NA,Poland - Biebrza NP,NA,NA,NA,2014-07-07,12:02:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86136075,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-07
86136074@OBS,https://observation.org/observation/86136074,OBS.86136074,HumanObservation,Observations,Martes martes,species,Animalia,WEASELS_AND_RELATIVES_MUSTELIDAE,Animalia|WEASELS_AND_RELATIVES_MUSTELIDAE,Pine Marten,NA,1,unknown,undetermined,22.6,53.3,WGS84,NA,5000,Europe,Poland,PL,NA,Poland - Biebrza NP,NA,NA,NA,2014-07-07,12:02:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86136074,Stichting Natuurinformatie,CC BY-NC 4.0,2017-08-11
86136073@OBS,https://observation.org/observation/86136073,OBS.86136073,HumanObservation,Observations,Heteropterus morpheus,species,Animalia,SKIPPERS_HESPERIIDAE,Animalia|SKIPPERS_HESPERIIDAE,Large Chequered Skipper,NA,2,imago,undetermined,22.6,53.3,WGS84,NA,5000,Europe,Poland,PL,NA,Poland - Biebrza NP,NA,NA,NA,2014-07-07,12:03:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86136073,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-07
86136072@OBS,https://observation.org/observation/86136072,OBS.86136072,HumanObservation,Observations,Melitaea athalia,species,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Animalia|BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Heath Fritillary,NA,4,imago,undetermined,22.6,53.3,WGS84,NA,5000,Europe,Poland,PL,NA,Poland - Biebrza NP,NA,NA,NA,2014-07-07,12:03:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86136072,Stichting Natuurinformatie,CC BY-NC 4.0,2018-08-28
86136071@OBS,https://observation.org/observation/86136071,OBS.86136071,HumanObservation,Observations,Thymelicus lineola,species,Animalia,SKIPPERS_HESPERIIDAE,Animalia|SKIPPERS_HESPERIIDAE,Essex Skipper,NA,1,imago,undetermined,22.59986216,53.31415059,WGS84,NA,25,Europe,Poland,PL,NA,Poland - Biebrza NP,NA,NA,NA,2014-07-07,12:04:00,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86136071,Stichting Natuurinformatie,CC BY-NC 4.0,2017-08-12
